SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15518,PAJARITO,115518000219,I.E. AGROPECUARIA,215518000299,ESC MIRAFLORES,RURAL,VDA MIRAFLORES,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15518,PAJARITO,115518000219,I.E. AGROPECUARIA,215518000183,SEDE CHARANGA,RURAL,VDA HUERTAVIEJA SECTOR CHARANGA,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESCUELA NUEVA,TEJIENDO SABERES","0,1,2,3,4,5,22,23,24,25,26",OFICIAL
BOYACA,15531,PAUNA,215531000478,I.E. SANTA ROSA,215531000494,ESC GALLINEROS,RURAL,VDA TRAVESIAS Y OTRO MUNDO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15531,PAUNA,215531000478,I.E. SANTA ROSA,215531000338,ESC PALMARONA,RURAL,VDA TRAVESIAS Y OTRO MUNDO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15533,PAYA,215533000106,I.E. EL ROSARIO,215533000106,I.E. EL ROSARIO - SEDE PRINCIPAL,RURAL,IND INSPECCIÓN MORCOTE,985218679,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15533,PAYA,115533000179,I.E. TECNICO SIMONA AMAYA,215533000157,GUACAL,RURAL,RURAL,986359360,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,23,24",OFICIAL
BOYACA,15542,PESCA,115542000025,I.E. INDALECIO VASQUEZ,215542000232,SUANEME,RURAL,VDA SUANEME,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,6,7,8,9,22,23,24,25,26",OFICIAL
BOYACA,15542,PESCA,115542000025,I.E. INDALECIO VASQUEZ,215542000178,CENT EDUC TOLEDO,RURAL,VDA TOLEDO,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15542,PESCA,115542000025,I.E. INDALECIO VASQUEZ,215542000186,ESC HERMINIA GALÁN NOCUATÁ,RURAL,VDA NOCUATÁ,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,22,23,24,25,26",OFICIAL
BOYACA,15550,PISBA,115550000191,I.E. RAMON BARRANTES,215550000110,ESC JUAN JOSE RONDON,RURAL,VDA MONQUIRA,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23,24,25,26",OFICIAL
BOYACA,15550,PISBA,115550000191,I.E. RAMON BARRANTES,215550000209,ESC VILLA DEL ROSARIO,RURAL,VDA SAN LUIS,,ANTIGUO-ACTIVO,BÁSICA PRIMARIA,ESCUELA NUEVA,"1,2,3,4",OFICIAL
BOYACA,15550,PISBA,115550000191,I.E. RAMON BARRANTES,215550000217,ESC SAN JOSE,RURAL,VDA VILLA DE LEYVA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
